Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-02-11,166.74769592285156,172.05218216872038,165.42156686692806,168.81056001230758,42868276
2020-02-12,167.9264678955078,170.234910314584,166.0109598184619,169.94021330528943,34621395
2020-02-13,166.5021209716797,169.30172015172442,165.12688820995666,168.3194067536614,25049848
2020-02-14,166.1092071533203,173.0836235190501,165.3233534108528,168.95791010723744,56676430
2020-02-17,166.1092071533203,168.3194123727464,163.40784521846624,167.38620262230242,32893274
2020-02-18,158.74185180664062,165.02865158577148,155.79491159975186,165.02865158577148,52744122
2020-02-19,155.254638671875,161.68879455586648,150.34307158316597,159.96974607481832,78914233
2020-02-20,155.69667053222656,159.42946436926752,153.240887085346,155.1563951761303,54328194
2020-02-24,147.98550415039062,153.14264937618728,146.95408709636138,151.27625995670212,39706007
2020-02-25,147.24876403808594,150.68686073667018,144.84209934685938,149.50808772350942,52719851
2020-02-26,141.993408203125,145.2841491747573,141.15843579853484,144.3018357523751,47605927
2020-02-27,142.68101501464844,144.15448504922313,138.6044205812234,141.6004643270621,51328153
2020-02-28,126.6693115234375,137.1309583582045,124.80292203555709,136.39422329894964,94469619
2020-03-02,123.18209838867188,131.53175455899338,121.61039849184024,130.64767851946428,111585697
2020-03-03,128.0445556640625,129.07597272664864,123.03475140758957,125.24495652269597,86765576
2020-03-04,123.96794891357422,127.30782348931994,118.41788416191943,127.30782348931994,97546902
2020-03-05,123.52590942382812,126.86576897133267,122.05243933129736,125.29407653264761,87795649
2020-03-06,112.18019104003906,115.22536867761187,110.80495822953658,112.96604478414625,83971462
2020-03-09,103.83052825927734,107.90713055965215,102.40617676015621,107.072165629324,81549809
2020-03-11,97.15080261230469,104.6163834032206,96.07025930609238,102.99556469667368,111146790
2020-03-12,86.44358825683594,93.22155292586567,82.61256409656198,89.48875861699211,143550830
2020-03-13,88.16262817382812,92.48480865840014,76.66956432332339,80.45146943690271,106151311
2020-03-16,81.48289489746094,86.09977245149048,80.74615983511697,84.08602694996763,73702778
2020-03-17,76.57132720947266,83.496639738508,76.031059331368,81.58113158934837,71842549
2020-03-18,74.16466522216797,79.02711378530883,73.77173834461611,78.48684588632474,70105052
2020-03-19,71.65975952148438,75.14697508874465,67.5340462398849,68.761937989701,68122549
2020-03-20,75.93283081054688,78.19214719316598,71.36507188178034,72.69119350769148,86043342
2020-03-23,65.0291519165039,70.72657332067453,64.83269221061832,68.76194628398913,34184325
2020-03-24,67.33759307861328,70.2354148910193,62.376906931184976,68.66371479794388,49551990
2020-03-25,69.00752258300781,70.43187414387778,66.06058211682954,66.55173886119259,57713806
2020-03-26,69.54779052734375,72.20003366416312,67.09200706937902,70.1862882308495,63821068
2020-03-27,69.44955444335938,74.55758862453028,68.12343285108318,70.77568353009207,58814757
2020-03-30,66.94465637207031,68.76193457259775,66.06057285724569,67.58316154913565,35278010
2020-03-31,69.79336547851562,70.2354034816668,66.99376647703824,69.35131998090846,46157286
2020-04-01,66.7481918334961,70.3827558721233,66.35527247317437,69.25309397505733,38149007
2020-04-03,64.14506530761719,65.71676518232067,63.65390862836883,65.71676518232067,35346301
2020-04-07,66.06057739257812,68.07432289823862,65.7167691950025,67.33758783438087,42066469
2020-04-08,66.40438079833984,70.33363418870854,64.2432944314195,65.32383761487966,82179303
2020-04-09,73.28057861328125,74.90139723261605,67.87785487846959,68.3690115816343,112677273
2020-04-13,72.936767578125,76.22751586221986,71.41417885985639,74.65581597222223,70409900
2020-04-15,71.61064910888672,77.3080623918832,70.67744687243918,74.06643263460673,81121081
2020-04-16,73.32969665527344,74.06643170373006,69.74425125389327,70.48098630234989,47910164
2020-04-17,75.49078369140625,76.91514262563295,73.378808371316,76.91514262563295,58333485
2020-04-20,79.02710723876953,81.92493616301105,74.1646590784298,75.4907806226628,125425355
2020-04-21,73.32969665527344,76.62044503948837,72.69119144771975,76.62044503948837,58248325
2020-04-22,74.55758666992188,75.19609186263618,71.26683836218662,73.13322777933513,56529293
2020-04-23,74.31201171875,77.25895197862543,74.06643336376038,75.39255498181299,50366856
2020-04-24,72.88765716552734,75.5399080562843,72.6911974674522,73.67351094674208,40047438
2020-04-27,73.91908264160156,74.85227736487576,73.4770446136204,74.55758784437378,27835340
